block,raintreat,comp,brc,datetime,temp
10,W,B,10WB,04-07-2025 07:07:22,9.35
11,AMB,,DSWS,04-07-2025 07:07:22,9.178
12,AMB,,USWS,04-07-2025 07:07:22,9.221
1,C,A,1CA,04-07-2025 07:37:23,10.036
1,D,B,1DB,04-07-2025 07:37:23,9.65
1,W,B,1WB,04-07-2025 07:37:23,9.435
2,C,B,2CB,04-07-2025 07:37:23,9.907
2,D,B,2DB,04-07-2025 07:37:23,9.907
2,W,A,2WA,04-07-2025 07:37:23,10.036
4,C,B,4CB,04-07-2025 07:37:23,9.478
4,D,A,4DA,04-07-2025 07:37:23,10.122
4,W,B,4WB,04-07-2025 07:37:23,10.25
6,C,B,6CB,04-07-2025 07:37:23,9.821
6,D,B,6DB,04-07-2025 07:37:23,9.693
6,W,A,6WA,04-07-2025 07:37:23,9.564
8,C,A,8CA,04-07-2025 07:37:23,9.392
8,D,A,8DA,04-07-2025 07:37:23,9.392
8,W,B,8WB,04-07-2025 07:37:23,9.35
10,C,A,10CA,04-07-2025 07:37:23,9.35
10,D,B,10DB,04-07-2025 07:37:23,9.435
10,W,B,10WB,04-07-2025 07:37:23,9.392
11,AMB,,DSWS,04-07-2025 07:37:23,9.35
12,AMB,,USWS,04-07-2025 07:37:23,9.392
1,C,A,1CA,04-07-2025 08:07:24,10.165
1,D,B,1DB,04-07-2025 08:07:24,9.65
1,W,B,1WB,04-07-2025 08:07:24,9.521
2,C,B,2CB,04-07-2025 08:07:24,10.079
2,D,B,2DB,04-07-2025 08:07:24,9.993
2,W,A,2WA,04-07-2025 08:07:24,10.293
4,C,B,4CB,04-07-2025 08:07:24,9.564
4,D,A,4DA,04-07-2025 08:07:24,10.165
4,W,B,4WB,04-07-2025 08:07:24,10.465
6,C,B,6CB,04-07-2025 08:07:24,9.95
6,D,B,6DB,04-07-2025 08:07:24,9.65
6,W,A,6WA,04-07-2025 08:07:24,9.564
8,C,A,8CA,04-07-2025 08:07:24,9.35
8,D,A,8DA,04-07-2025 08:07:24,9.435
8,W,B,8WB,04-07-2025 08:07:24,9.307
10,C,A,10CA,04-07-2025 08:07:24,9.478
10,D,B,10DB,04-07-2025 08:07:24,9.435
10,W,B,10WB,04-07-2025 08:07:24,9.478
11,AMB,,DSWS,04-07-2025 08:07:24,9.264
12,AMB,,USWS,04-07-2025 08:07:24,9.264
1,C,A,1CA,04-07-2025 08:37:25,10.508
1,D,B,1DB,04-07-2025 08:37:25,9.821
1,W,B,1WB,04-07-2025 08:37:25,9.607
2,C,B,2CB,04-07-2025 08:37:25,10.551
2,D,B,2DB,04-07-2025 08:37:25,10.379
2,W,A,2WA,04-07-2025 08:37:25,10.851
4,C,B,4CB,04-07-2025 08:37:25,9.736
4,D,A,4DA,04-07-2025 08:37:25,10.25
4,W,B,4WB,04-07-2025 08:37:25,11.023
6,C,B,6CB,04-07-2025 08:37:25,10.293
6,D,B,6DB,04-07-2025 08:37:25,9.864
6,W,A,6WA,04-07-2025 08:37:25,9.864
8,C,A,8CA,04-07-2025 08:37:25,9.521
8,D,A,8DA,04-07-2025 08:37:25,9.607
8,W,B,8WB,04-07-2025 08:37:25,9.392
10,C,A,10CA,04-07-2025 08:37:25,9.607
10,D,B,10DB,04-07-2025 08:37:25,9.564
10,W,B,10WB,04-07-2025 08:37:25,9.693
11,AMB,,DSWS,04-07-2025 08:37:25,9.178
12,AMB,,USWS,04-07-2025 08:37:25,9.307
1,C,A,1CA,04-07-2025 09:07:26,16.042
1,D,B,1DB,04-07-2025 09:07:26,13.94
1,W,B,1WB,04-07-2025 09:07:26,13.296
2,C,B,2CB,04-07-2025 09:07:26,15.57
2,D,B,2DB,04-07-2025 09:07:26,15.656
2,W,A,2WA,04-07-2025 09:07:26,16.814
4,C,B,4CB,04-07-2025 09:07:26,14.583
4,D,A,4DA,04-07-2025 09:07:26,13.682
4,W,B,4WB,04-07-2025 09:07:26,15.699
6,C,B,6CB,04-07-2025 09:07:26,15.613
6,D,B,6DB,04-07-2025 09:07:26,12.353
6,W,A,6WA,04-07-2025 09:07:26,12.696
8,C,A,8CA,04-07-2025 09:07:26,12.567
8,D,A,8DA,04-07-2025 09:07:26,13.64
8,W,B,8WB,04-07-2025 09:07:26,12.824
10,C,A,10CA,04-07-2025 09:07:26,12.739
10,D,B,10DB,04-07-2025 09:07:26,12.31
10,W,B,10WB,04-07-2025 09:07:26,12.696
11,AMB,,DSWS,04-07-2025 09:07:26,10.894
12,AMB,,USWS,04-07-2025 09:07:26,11.194
1,C,A,1CA,04-07-2025 09:37:27,16.6
1,D,B,1DB,04-07-2025 09:37:27,13.768
1,W,B,1WB,04-07-2025 09:37:27,14.24
2,C,B,2CB,04-07-2025 09:37:27,15.999
2,D,B,2DB,04-07-2025 09:37:27,15.999
2,W,A,2WA,04-07-2025 09:37:27,17.887
4,C,B,4CB,04-07-2025 09:37:27,14.969
4,D,A,4DA,04-07-2025 09:37:27,15.699
4,W,B,4WB,04-07-2025 09:37:27,18.745
6,C,B,6CB,04-07-2025 09:37:27,15.398
6,D,B,6DB,04-07-2025 09:37:27,13.125
